marker,Identifier,Score,Component,Description
JSolomon,Participant 12895769,3,23,Overall clarity of writing
JSolomon,Participant 12895769,4,24,Overall quality of grammar and spelling
JSolomon,Participant 12895769,5,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895769,4,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895782,3,1,Abstract is clear and accurate
JSolomon,Participant 12895782,3,2,Abstract contains correct information
JSolomon,Participant 12895782,4,3,Introduction is clear and accurate
JSolomon,Participant 12895782,4,4,Introduction gives big-picture overview
JSolomon,Participant 12895782,4,5,Introduction outlines specific research area
JSolomon,Participant 12895782,3,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895782,4,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895782,1,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895782,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895782,4,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895782,2,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895782,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895782,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895782,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895782,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895782,3,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895782,4,18,Discussion correctly interprets findings
JSolomon,Participant 12895782,4,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895782,3,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895782,2,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895782,1,22,Discussion concludes appropriately.
JSolomon,Participant 12895782,2,23,Overall clarity of writing
JSolomon,Participant 12895782,4,24,Overall quality of grammar and spelling
JSolomon,Participant 12895782,5,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895782,3,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895786,2,1,Abstract is clear and accurate
JSolomon,Participant 12895786,3,2,Abstract contains correct information
JSolomon,Participant 12895786,2,3,Introduction is clear and accurate
JSolomon,Participant 12895786,3,4,Introduction gives big-picture overview
JSolomon,Participant 12895786,3,5,Introduction outlines specific research area
JSolomon,Participant 12895786,3,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895786,3,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895786,1,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895786,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895786,3,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895786,3,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895786,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895786,1,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895786,1,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895786,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895786,3,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895786,2,18,Discussion correctly interprets findings
JSolomon,Participant 12895786,2,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895786,2,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895786,2,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895786,2,22,Discussion concludes appropriately.
JSolomon,Participant 12895786,2,23,Overall clarity of writing
JSolomon,Participant 12895786,1,24,Overall quality of grammar and spelling
JSolomon,Participant 12895786,1,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895786,1,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895806,4,1,Abstract is clear and accurate
JSolomon,Participant 12895806,4,2,Abstract contains correct information
JSolomon,Participant 12895806,4,3,Introduction is clear and accurate
JSolomon,Participant 12895806,4,4,Introduction gives big-picture overview
JSolomon,Participant 12895806,3,5,Introduction outlines specific research area
JSolomon,Participant 12895806,4,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895806,5,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895806,5,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895806,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895806,5,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895806,3,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895806,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895806,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895806,1,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895806,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895806,5,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895806,5,18,Discussion correctly interprets findings
JSolomon,Participant 12895806,4,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895806,4,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895806,4,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895806,3,22,Discussion concludes appropriately.
JSolomon,Participant 12895806,3,23,Overall clarity of writing
JSolomon,Participant 12895806,5,24,Overall quality of grammar and spelling
JSolomon,Participant 12895806,5,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895806,3,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895847,5,1,Abstract is clear and accurate
JSolomon,Participant 12895847,5,2,Abstract contains correct information
JSolomon,Participant 12895847,4,3,Introduction is clear and accurate
JSolomon,Participant 12895847,5,4,Introduction gives big-picture overview
JSolomon,Participant 12895847,5,5,Introduction outlines specific research area
JSolomon,Participant 12895847,4,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895847,5,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895847,5,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895847,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895847,5,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895847,5,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895847,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895847,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895847,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895847,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895847,5,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895847,5,18,Discussion correctly interprets findings
JSolomon,Participant 12895847,4,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895847,4,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895847,4,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895847,5,22,Discussion concludes appropriately.
JSolomon,Participant 12895847,5,23,Overall clarity of writing
JSolomon,Participant 12895847,5,24,Overall quality of grammar and spelling
JSolomon,Participant 12895847,5,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895847,5,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895849,2,1,Abstract is clear and accurate
JSolomon,Participant 12895849,2,2,Abstract contains correct information
JSolomon,Participant 12895849,2,3,Introduction is clear and accurate
JSolomon,Participant 12895849,2,4,Introduction gives big-picture overview
JSolomon,Participant 12895849,2,5,Introduction outlines specific research area
JSolomon,Participant 12895849,2,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895849,4,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895849,3,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895849,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895849,5,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895849,3,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895849,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895849,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895849,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895849,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895849,3,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895849,3,18,Discussion correctly interprets findings
JSolomon,Participant 12895849,4,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895849,4,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895849,4,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895849,3,22,Discussion concludes appropriately.
JSolomon,Participant 12895849,4,23,Overall clarity of writing
JSolomon,Participant 12895849,4,24,Overall quality of grammar and spelling
JSolomon,Participant 12895849,3,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895849,4,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895873,4,1,Abstract is clear and accurate
JSolomon,Participant 12895873,3,2,Abstract contains correct information
JSolomon,Participant 12895873,2,3,Introduction is clear and accurate
JSolomon,Participant 12895873,2,4,Introduction gives big-picture overview
JSolomon,Participant 12895873,2,5,Introduction outlines specific research area
JSolomon,Participant 12895873,2,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895873,4,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895873,3,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895873,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895873,3,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895873,2,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895873,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895873,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895873,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895873,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895873,2,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895873,3,18,Discussion correctly interprets findings
JSolomon,Participant 12895873,2,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895873,2,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895873,2,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895873,1,22,Discussion concludes appropriately.
JSolomon,Participant 12895873,2,23,Overall clarity of writing
JSolomon,Participant 12895873,5,24,Overall quality of grammar and spelling
JSolomon,Participant 12895873,3,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895873,4,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895893,3,1,Abstract is clear and accurate
JSolomon,Participant 12895893,2,2,Abstract contains correct information
JSolomon,Participant 12895893,4,3,Introduction is clear and accurate
JSolomon,Participant 12895893,3,4,Introduction gives big-picture overview
JSolomon,Participant 12895893,3,5,Introduction outlines specific research area
JSolomon,Participant 12895893,2,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895893,4,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895893,4,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895893,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895893,4,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895893,3,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895893,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895893,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895893,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895893,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895893,2,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895893,2,18,Discussion correctly interprets findings
JSolomon,Participant 12895893,2,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895893,2,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895893,1,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895893,2,22,Discussion concludes appropriately.
JSolomon,Participant 12895893,2,23,Overall clarity of writing
JSolomon,Participant 12895893,4,24,Overall quality of grammar and spelling
JSolomon,Participant 12895893,4,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895893,4,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895896,4,1,Abstract is clear and accurate
JSolomon,Participant 12895896,3,2,Abstract contains correct information
JSolomon,Participant 12895896,3,3,Introduction is clear and accurate
JSolomon,Participant 12895896,4,4,Introduction gives big-picture overview
JSolomon,Participant 12895896,3,5,Introduction outlines specific research area
JSolomon,Participant 12895896,3,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895896,4,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895896,4,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895896,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895896,4,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895896,3,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895896,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895896,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895896,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895896,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895896,2,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895896,2,18,Discussion correctly interprets findings
JSolomon,Participant 12895896,3,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895896,3,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895896,3,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895896,3,22,Discussion concludes appropriately.
JSolomon,Participant 12895896,5,23,Overall clarity of writing
JSolomon,Participant 12895896,5,24,Overall quality of grammar and spelling
JSolomon,Participant 12895896,5,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895896,5,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895928,4,1,Abstract is clear and accurate
JSolomon,Participant 12895928,4,2,Abstract contains correct information
JSolomon,Participant 12895928,4,3,Introduction is clear and accurate
JSolomon,Participant 12895928,4,4,Introduction gives big-picture overview
JSolomon,Participant 12895928,4,5,Introduction outlines specific research area
JSolomon,Participant 12895928,4,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895928,4,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895928,5,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895928,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895928,5,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895928,2,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895928,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895928,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895928,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895928,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895928,3,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895928,3,18,Discussion correctly interprets findings
JSolomon,Participant 12895928,4,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895928,4,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895928,3,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895928,4,22,Discussion concludes appropriately.
JSolomon,Participant 12895928,5,23,Overall clarity of writing
JSolomon,Participant 12895928,5,24,Overall quality of grammar and spelling
JSolomon,Participant 12895928,5,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895928,5,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895937,4,1,Abstract is clear and accurate
JSolomon,Participant 12895937,5,2,Abstract contains correct information
JSolomon,Participant 12895937,4,3,Introduction is clear and accurate
JSolomon,Participant 12895937,5,4,Introduction gives big-picture overview
JSolomon,Participant 12895937,4,5,Introduction outlines specific research area
JSolomon,Participant 12895937,5,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895937,5,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895937,3,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895937,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895937,5,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895937,4,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895937,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895937,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895937,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895937,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895937,5,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895937,5,18,Discussion correctly interprets findings
JSolomon,Participant 12895937,5,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895937,4,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895937,3,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895937,4,22,Discussion concludes appropriately.
JSolomon,Participant 12895937,4,23,Overall clarity of writing
JSolomon,Participant 12895937,5,24,Overall quality of grammar and spelling
JSolomon,Participant 12895937,4,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895937,5,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895812,2,1,Abstract is clear and accurate
JSolomon,Participant 12895812,3,2,Abstract contains correct information
JSolomon,Participant 12895812,3,3,Introduction is clear and accurate
JSolomon,Participant 12895812,2,4,Introduction gives big-picture overview
JSolomon,Participant 12895812,2,5,Introduction outlines specific research area
JSolomon,Participant 12895812,3,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895812,4,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895812,2,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895812,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895812,4,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895812,3,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895812,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895812,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895812,1,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895812,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895812,4,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895812,3,18,Discussion correctly interprets findings
JSolomon,Participant 12895812,3,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895812,2,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895812,1,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895812,2,22,Discussion concludes appropriately.
JSolomon,Participant 12895812,3,23,Overall clarity of writing
JSolomon,Participant 12895812,4,24,Overall quality of grammar and spelling
JSolomon,Participant 12895812,4,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895812,2,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895933,2,1,Abstract is clear and accurate
JSolomon,Participant 12895933,3,2,Abstract contains correct information
JSolomon,Participant 12895933,2,3,Introduction is clear and accurate
JSolomon,Participant 12895933,2,4,Introduction gives big-picture overview
JSolomon,Participant 12895933,2,5,Introduction outlines specific research area
JSolomon,Participant 12895933,2,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895933,2,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895933,1,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895933,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895933,2,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895933,4,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895933,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895933,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895933,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895933,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895933,3,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895933,2,18,Discussion correctly interprets findings
JSolomon,Participant 12895933,3,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895933,2,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895933,1,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895933,2,22,Discussion concludes appropriately.
JSolomon,Participant 12895933,2,23,Overall clarity of writing
JSolomon,Participant 12895933,2,24,Overall quality of grammar and spelling
JSolomon,Participant 12895933,4,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895933,3,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895891,4,1,Abstract is clear and accurate
JSolomon,Participant 12895891,5,2,Abstract contains correct information
JSolomon,Participant 12895891,4,3,Introduction is clear and accurate
JSolomon,Participant 12895891,4,4,Introduction gives big-picture overview
JSolomon,Participant 12895891,4,5,Introduction outlines specific research area
JSolomon,Participant 12895891,4,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895891,3,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895891,3,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895891,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895891,4,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895891,5,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895891,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895891,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895891,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895891,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895891,4,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895891,4,18,Discussion correctly interprets findings
JSolomon,Participant 12895891,4,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895891,3,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895891,2,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895891,2,22,Discussion concludes appropriately.
JSolomon,Participant 12895891,4,23,Overall clarity of writing
JSolomon,Participant 12895891,5,24,Overall quality of grammar and spelling
JSolomon,Participant 12895891,5,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895891,4,26,Correct usage of APA-formatted citations and references
LCrichton,Participant 12895857,4,1,Abstract is clear and accurate
LCrichton,Participant 12895857,4,2,Abstract contains correct information
LCrichton,Participant 12895857,4,3,Introduction is clear and accurate
LCrichton,Participant 12895857,4,4,Introduction gives big-picture overview
LCrichton,Participant 12895857,3,5,Introduction outlines specific research area
LCrichton,Participant 12895857,4,6,Introduction gives rationale for current experiment
LCrichton,Participant 12895857,4,7,"Participant section is clear, accurate, and contain correct information"
LCrichton,Participant 12895857,3,8,Sample sizes are justified through a power calculation
LCrichton,Participant 12895857,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
LCrichton,Participant 12895857,3,10,"Procedure section is clear, accurate, and contain correct information."
LCrichton,Participant 12895857,4,11,"Result section is overall clear, accurate, and contain correct information"
LCrichton,Participant 12895857,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
LCrichton,Participant 12895857,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
LCrichton,Participant 12895857,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
LCrichton,Participant 12895857,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
LCrichton,Participant 12895857,4,17,Discussion correctly and clearly summarises findings
LCrichton,Participant 12895857,3,18,Discussion correctly interprets findings
LCrichton,Participant 12895857,5,19,Discussion makes appropriate links to previous literature
LCrichton,Participant 12895857,3,20,Discussion provides good considerations of the limitations of the current study
LCrichton,Participant 12895857,3,21,"Discussion makes a good, sensible suggestion for future work"
LCrichton,Participant 12895857,4,22,Discussion concludes appropriately.
LCrichton,Participant 12895857,5,23,Overall clarity of writing
LCrichton,Participant 12895857,4,24,Overall quality of grammar and spelling
LCrichton,Participant 12895857,5,25,Correct formatting of sections and sub-sections
LCrichton,Participant 12895857,5,26,Correct usage of APA-formatted citations and references
LCrichton,Participant 12895738,5,1,Abstract is clear and accurate
LCrichton,Participant 12895738,4,2,Abstract contains correct information
LCrichton,Participant 12895738,4,3,Introduction is clear and accurate
LCrichton,Participant 12895738,4,4,Introduction gives big-picture overview
LCrichton,Participant 12895738,3,5,Introduction outlines specific research area
LCrichton,Participant 12895738,3,6,Introduction gives rationale for current experiment
LCrichton,Participant 12895738,5,7,"Participant section is clear, accurate, and contain correct information"
LCrichton,Participant 12895738,5,8,Sample sizes are justified through a power calculation
LCrichton,Participant 12895738,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
LCrichton,Participant 12895738,4,10,"Procedure section is clear, accurate, and contain correct information."
LCrichton,Participant 12895738,4,11,"Result section is overall clear, accurate, and contain correct information"
LCrichton,Participant 12895738,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
LCrichton,Participant 12895738,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
LCrichton,Participant 12895738,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
LCrichton,Participant 12895738,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
LCrichton,Participant 12895738,4,17,Discussion correctly and clearly summarises findings
LCrichton,Participant 12895738,3,18,Discussion correctly interprets findings
LCrichton,Participant 12895738,4,19,Discussion makes appropriate links to previous literature
LCrichton,Participant 12895738,3,20,Discussion provides good considerations of the limitations of the current study
LCrichton,Participant 12895738,3,21,"Discussion makes a good, sensible suggestion for future work"
LCrichton,Participant 12895738,4,22,Discussion concludes appropriately.
LCrichton,Participant 12895738,5,23,Overall clarity of writing
LCrichton,Participant 12895738,5,24,Overall quality of grammar and spelling
LCrichton,Participant 12895738,4,25,Correct formatting of sections and sub-sections
LCrichton,Participant 12895738,4,26,Correct usage of APA-formatted citations and references
